Series Name,Series Code,Country Name,Country Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Ghana,GHA,35.7,35.2,34.7,34.3,33.9,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Kenya,KEN,35.2,34.7,34.2,33.7,33.2,..,..,..,..,..
Prevalence of hypertension (% of adults ages 30-79),SH.HTN.PREV.ZS,Nigeria,NGA,36.1,36.1,36.1,36.1,36.1,..,..,..,..,..
"Prevalence of hypertension, female (% of female adults ages 30-79)",SH.HTN.PREV.FE.ZS,Ghana,GHA,37.6,37.2,36.9,36.5,36.1,..,..,..,..,..
"Prevalence of hypertension, female (% of female adults ages 30-79)",SH.HTN.PREV.FE.ZS,Kenya,KEN,36.4,36,35.5,35.1,34.7,..,..,..,..,..
"Prevalence of hypertension, female (% of female adults ages 30-79)",SH.HTN.PREV.FE.ZS,Nigeria,NGA,38.5,38.6,38.8,38.9,39,..,..,..,..,..
"Prevalence of hypertension, male (% of male adults ages 30-79)",SH.HTN.PREV.MA.ZS,Ghana,GHA,33.5,33,32.5,31.9,31.4,..,..,..,..,..
"Prevalence of hypertension, male (% of male adults ages 30-79)",SH.HTN.PREV.MA.ZS,Kenya,KEN,33.7,33.1,32.5,32,31.4,..,..,..,..,..
"Prevalence of hypertension, male (% of male adults ages 30-79)",SH.HTN.PREV.MA.ZS,Nigeria,NGA,33.6,33.5,33.3,33.2,33,..,..,..,..,..
Prevalence of overweight (% of adults),SH.STA.OWAD.ZS,Ghana,GHA,32.76,33.3,33.85,34.41,34.98,35.55,36.14,36.73,..,..
Prevalence of overweight (% of adults),SH.STA.OWAD.ZS,Kenya,KEN,28.23,28.98,29.74,30.51,31.29,32.08,32.89,33.71,..,..
Prevalence of overweight (% of adults),SH.STA.OWAD.ZS,Nigeria,NGA,30.51,31,31.5,32.02,32.56,33.12,33.69,34.27,..,..
Prevalence of overweight (% of children under 5),SH.STA.OWGH.ZS,Ghana,GHA,..,..,1.4,..,..,..,..,2,..,..
Prevalence of overweight (% of children under 5),SH.STA.OWGH.ZS,Kenya,KEN,..,5.8,..,..,..,..,..,3.4,..,..
Prevalence of overweight (% of children under 5),SH.STA.OWGH.ZS,Nigeria,NGA,1.6,1.5,..,2.1,..,1.6,1.5,..,..,..
"Prevalence of overweight (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.ZS,Ghana,GHA,2.3,2.2,2.1,2,1.9,1.9,1.9,1.8,1.8,1.8
"Prevalence of overweight (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.ZS,Kenya,KEN,4.2,4,3.9,3.8,3.7,3.7,3.7,3.8,4,4.3
"Prevalence of overweight (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.ZS,Nigeria,NGA,1.8,1.7,1.6,1.5,1.4,1.4,1.4,1.5,1.5,1.6
"Prevalence of overweight, female (% of children under 5)",SH.STA.OWGH.FE.ZS,Ghana,GHA,..,..,1.3,..,..,..,..,1.8,..,..
"Prevalence of overweight, female (% of children under 5)",SH.STA.OWGH.FE.ZS,Kenya,KEN,..,5.6,..,..,..,..,..,3.8,..,..
"Prevalence of overweight, female (% of children under 5)",SH.STA.OWGH.FE.ZS,Nigeria,NGA,1.3,1.3,..,1.8,..,1.6,1.6,..,..,..
"Prevalence of overweight, female (% of female adults)",SH.STA.OWAD.FE.ZS,Ghana,GHA,43.19,43.98,44.79,45.6,46.42,47.25,48.07,48.9,..,..
"Prevalence of overweight, female (% of female adults)",SH.STA.OWAD.FE.ZS,Kenya,KEN,37.99,39.02,40.05,41.07,42.08,43.09,44.09,45.09,..,..
"Prevalence of overweight, female (% of female adults)",SH.STA.OWAD.FE.ZS,Nigeria,NGA,35.57,36.28,37,37.75,38.52,39.3,40.09,40.89,..,..
"Prevalence of overweight, female (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.FE.ZS,Ghana,GHA,2.1,2,1.9,1.9,1.8,1.8,1.7,1.7,1.7,1.7
"Prevalence of overweight, female (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.FE.ZS,Kenya,KEN,3.9,3.8,3.6,3.5,3.4,3.4,3.5,3.6,3.8,4
"Prevalence of overweight, female (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.FE.ZS,Nigeria,NGA,1.6,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.4,1.5
"Prevalence of overweight, male (% of children under 5)",SH.STA.OWGH.MA.ZS,Ghana,GHA,..,..,1.5,..,..,..,..,2.1,..,..
"Prevalence of overweight, male (% of children under 5)",SH.STA.OWGH.MA.ZS,Kenya,KEN,..,6,..,..,..,..,..,3,..,..
"Prevalence of overweight, male (% of children under 5)",SH.STA.OWGH.MA.ZS,Nigeria,NGA,1.8,1.7,..,2.3,..,1.5,1.3,..,..,..
"Prevalence of overweight, male (% of male adults)",SH.STA.OWAD.MA.ZS,Ghana,GHA,21.75,22.05,22.35,22.66,22.98,23.32,23.67,24.03,..,..
"Prevalence of overweight, male (% of male adults)",SH.STA.OWAD.MA.ZS,Kenya,KEN,18.14,18.62,19.12,19.64,20.18,20.76,21.35,21.96,..,..
"Prevalence of overweight, male (% of male adults)",SH.STA.OWAD.MA.ZS,Nigeria,NGA,25.42,25.71,25.99,26.29,26.6,26.94,27.3,27.67,..,..
"Prevalence of overweight, male (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.MA.ZS,Ghana,GHA,2.4,2.3,2.2,2.1,2.1,2,2,2,1.9,1.9
"Prevalence of overweight, male (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.MA.ZS,Kenya,KEN,4.5,4.3,4.1,4,3.9,3.9,4,4.1,4.3,4.6
"Prevalence of overweight, male (modeled estimate, % of children under 5)",SH.STA.OWGH.ME.MA.ZS,Nigeria,NGA,1.9,1.8,1.7,1.6,1.5,1.5,1.5,1.6,1.6,1.7
"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS,Ghana,GHA,..,..,1.1,..,..,..,..,1.2,..,..
"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS,Kenya,KEN,..,2.3,..,..,..,..,..,0.6,..,..
"Prevalence of severe wasting, weight for height (% of children under 5)",SH.SVR.WAST.ZS,Nigeria,NGA,1.8,2.9,..,1.8,..,1.4,3.1,..,..,..
"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS,Ghana,GHA,..,..,1,..,..,..,..,0.9,..,..
"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS,Kenya,KEN,..,2.2,..,..,..,..,..,0.5,..,..
"Prevalence of severe wasting, weight for height, female (% of children under 5)",SH.SVR.WAST.FE.ZS,Nigeria,NGA,1.5,2.5,..,1.4,..,0.9,2.6,..,..,..
"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,Ghana,GHA,..,..,1.3,..,..,..,..,1.4,..,..
"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,Kenya,KEN,..,2.5,..,..,..,..,..,0.6,..,..
"Prevalence of severe wasting, weight for height, male (% of children under 5)",SH.SVR.WAST.MA.ZS,Nigeria,NGA,2,3.3,..,2.2,..,1.9,2.8,..,..,..
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",SH.STA.STNT.ME.ZS,Ghana,GHA,19.8,19.2,18.5,17.8,17.1,16.5,16,15.7,15.6,15.6
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",SH.STA.STNT.ME.ZS,Kenya,KEN,25.4,24.3,23.1,22,20.9,20,19.2,18.7,18.2,17.9
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",SH.STA.STNT.ME.ZS,Nigeria,NGA,35.8,35.4,34.9,34.4,33.9,33.5,33.4,33.5,33.6,33.8
"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,Ghana,GHA,..,..,15.6,..,..,..,..,15.3,..,..
"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,Kenya,KEN,..,25.7,..,..,..,..,..,15.6,..,..
"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,Nigeria,NGA,30.4,41.4,..,34.1,..,26.9,32.5,..,..,..
"Prevalence of stunting, height for age, female (modeled estimate, % of children under 5)",SH.STA.STNT.ME.FE.ZS,Ghana,GHA,17.7,17.1,16.5,15.8,15.2,14.6,14.2,14,13.9,13.8
"Prevalence of stunting, height for age, female (modeled estimate, % of children under 5)",SH.STA.STNT.ME.FE.ZS,Kenya,KEN,23,21.9,20.9,19.8,18.8,17.9,17.2,16.7,16.3,16
"Prevalence of stunting, height for age, female (modeled estimate, % of children under 5)",SH.STA.STNT.ME.FE.ZS,Nigeria,NGA,33.4,33,32.6,32.1,31.6,31.2,31,31.2,31.2,31.4
"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,Ghana,GHA,..,..,19.5,..,..,..,..,19.4,..,..
"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,Kenya,KEN,..,31.5,..,..,..,..,..,19.6,..,..
"Prevalence of stunting, height for age, male (% of children under 5)",SH.STA.STNT.MA.ZS,Nigeria,NGA,35.6,45.7,..,39.4,..,36.1,35,..,..,..
"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",SH.STA.STNT.ME.MA.ZS,Ghana,GHA,21.8,21.1,20.4,19.6,18.9,18.3,17.7,17.4,17.3,17.3
"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",SH.STA.STNT.ME.MA.ZS,Kenya,KEN,27.7,26.5,25.4,24.2,23,22,21.2,20.7,20.2,19.8
"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",SH.STA.STNT.ME.MA.ZS,Nigeria,NGA,38.1,37.7,37.2,36.7,36.2,35.8,35.7,35.9,36,36.2
Prevalence of syphilis (% of women attending antenatal care),SH.PRG.SYPH.ZS,Ghana,GHA,2.74,2.16,3.06,2.75,..,..,1.43,1.2,..,..
Prevalence of syphilis (% of women attending antenatal care),SH.PRG.SYPH.ZS,Kenya,KEN,1.2,1.24,1.37,0.93,0.31,1.25,1.14,0.93,..,..
Prevalence of syphilis (% of women attending antenatal care),SH.PRG.SYPH.ZS,Nigeria,NGA,0.7,1.22,0.76,0.5,0.38,0.4,0.41,0.59,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Ghana,GHA,9.7,9.8,9,7.8,6.9,6,5.9,6.2,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Kenya,KEN,20.5,21.8,23.2,22.6,23.4,26,31.1,34.5,..,..
Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS,Nigeria,NGA,10.5,10.7,11.3,11.8,13.6,15.1,17,18,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Ghana,GHA,..,..,12.6,..,..,..,..,12,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Kenya,KEN,..,13,..,..,..,..,..,9.8,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Nigeria,NGA,19.5,31.5,..,21.8,..,18.4,24.4,..,..,..
"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,Ghana,GHA,..,..,11,..,..,..,..,10.1,..,..
"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,Kenya,KEN,..,12.4,..,..,..,..,..,8.9,..,..
"Prevalence of underweight, weight for age, female (% of children under 5)",SH.STA.MALN.FE.ZS,Nigeria,NGA,18.5,29.9,..,20.4,..,15,23.7,..,..,..
"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,Ghana,GHA,..,..,14.1,..,..,..,..,13.8,..,..
"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,Kenya,KEN,..,13.7,..,..,..,..,..,10.7,..,..
"Prevalence of underweight, weight for age, male (% of children under 5)",SH.STA.MALN.MA.ZS,Nigeria,NGA,20.5,33.1,..,23.1,..,21.8,27.2,..,..,..
"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,Ghana,GHA,..,..,6.8,..,..,..,..,5.8,..,..
"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,Kenya,KEN,..,6.7,..,..,..,..,..,4.5,..,..
"Prevalence of wasting, weight for height (% of children under 5)",SH.STA.WAST.ZS,Nigeria,NGA,7.3,10.8,..,6.8,..,6.5,11.6,..,..,..
"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS,Ghana,GHA,..,..,5.9,..,..,..,..,5,..,..
"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS,Kenya,KEN,..,6.4,..,..,..,..,..,4,..,..
"Prevalence of wasting, weight for height, female (% of children under 5)",SH.STA.WAST.FE.ZS,Nigeria,NGA,7,9.6,..,5.5,..,5.3,10.6,..,..,..
"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS,Ghana,GHA,..,..,7.8,..,..,..,..,6.6,..,..
"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS,Kenya,KEN,..,7,..,..,..,..,..,5,..,..
"Prevalence of wasting, weight for height, male (% of children under 5)",SH.STA.WAST.MA.ZS,Nigeria,NGA,7.6,11.9,..,8,..,7.6,11.4,..,..,..
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,Ghana,GHA,92.36077881,..,86.69114685,87.85752106,..,..,..,91.75026703,..,..
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,Kenya,KEN,102.0344772,102.5072861,..,..,..,..,..,..,..,..
"Primary completion rate, female (% of relevant age group)",SE.PRM.CMPT.FE.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,Ghana,GHA,94.95852661,..,88.98464203,88.21994019,..,..,..,92.25862122,..,..
"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,Kenya,KEN,102.1345215,102.9452438,..,..,..,..,..,..,..,..
"Primary completion rate, male (% of relevant age group)",SE.PRM.CMPT.MA.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Ghana,GHA,93.67414856,..,87.84977722,88.04061127,..,..,..,92.00717163,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Kenya,KEN,102.0845795,102.7265854,..,..,..,..,..,..,..,..
"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
"Probability of dying among adolescents ages 10-14 years (per 1,000)",SH.DYN.1014,Ghana,GHA,5.1,5,4.9,4.8,4.8,4.7,4.6,4.5,4.4,..
"Probability of dying among adolescents ages 10-14 years (per 1,000)",SH.DYN.1014,Kenya,KEN,3.2,3,2.9,2.7,2.5,2.4,2.2,2.1,2,..
"Probability of dying among adolescents ages 10-14 years (per 1,000)",SH.DYN.1014,Nigeria,NGA,7.7,7.5,7.3,7.2,7,6.9,6.8,6.6,6.5,..
"Probability of dying among adolescents ages 10-14 years, female (per 1,000)",SH.DYN.1014.FE,Ghana,GHA,4.8,4.7,4.6,4.6,4.5,4.4,4.3,4.2,4.1,..
"Probability of dying among adolescents ages 10-14 years, female (per 1,000)",SH.DYN.1014.FE,Kenya,KEN,2.7,2.5,2.3,2.2,2,1.9,1.7,1.6,1.6,..
"Probability of dying among adolescents ages 10-14 years, female (per 1,000)",SH.DYN.1014.FE,Nigeria,NGA,7.2,7,6.9,6.7,6.6,6.4,6.3,6.1,5.9,..
"Probability of dying among adolescents ages 10-14 years, male (per 1,000)",SH.DYN.1014.MA,Ghana,GHA,5.3,5.2,5.2,5.1,5,4.9,4.9,4.8,4.8,..
"Probability of dying among adolescents ages 10-14 years, male (per 1,000)",SH.DYN.1014.MA,Kenya,KEN,3.8,3.6,3.4,3.2,3,2.9,2.7,2.6,2.5,..
"Probability of dying among adolescents ages 10-14 years, male (per 1,000)",SH.DYN.1014.MA,Nigeria,NGA,8.1,8,7.8,7.7,7.5,7.4,7.2,7.1,7,..
"Probability of dying among adolescents ages 10-19 years (per 1,000)",SH.DYN.1019,Ghana,GHA,13.2,12.9,12.7,12.4,12.1,11.9,11.6,11.4,11.2,..
"Probability of dying among adolescents ages 10-19 years (per 1,000)",SH.DYN.1019,Kenya,KEN,10.2,9.8,9.4,9,8.7,8.4,8,7.8,7.5,..
"Probability of dying among adolescents ages 10-19 years (per 1,000)",SH.DYN.1019,Nigeria,NGA,16.3,16,15.6,15.3,15,14.6,14.2,13.9,13.6,..
"Probability of dying among adolescents ages 10-19 years, female (per 1,000)",SH.DYN.1019.FE,Ghana,GHA,11,10.8,10.5,10.2,10,9.8,9.6,9.3,9.1,..
"Probability of dying among adolescents ages 10-19 years, female (per 1,000)",SH.DYN.1019.FE,Kenya,KEN,8,7.6,7.2,6.8,6.5,6.1,5.9,5.6,5.4,..
"Probability of dying among adolescents ages 10-19 years, female (per 1,000)",SH.DYN.1019.FE,Nigeria,NGA,15.1,14.7,14.3,13.9,13.5,13.1,12.7,12.4,12,..
"Probability of dying among adolescents ages 10-19 years, male (per 1,000)",SH.DYN.1019.MA,Ghana,GHA,15.2,15,14.8,14.5,14.2,14,13.7,13.4,13.2,..
"Probability of dying among adolescents ages 10-19 years, male (per 1,000)",SH.DYN.1019.MA,Kenya,KEN,12.4,12,11.6,11.3,11,10.6,10.3,9.9,9.6,..
"Probability of dying among adolescents ages 10-19 years, male (per 1,000)",SH.DYN.1019.MA,Nigeria,NGA,17.5,17.2,17,16.7,16.4,16.1,15.8,15.4,15.1,..
"Probability of dying among adolescents ages 15-19 years (per 1,000)",SH.DYN.1519,Ghana,GHA,8.1,8,7.8,7.6,7.4,7.2,7.1,6.9,6.7,..
"Probability of dying among adolescents ages 15-19 years (per 1,000)",SH.DYN.1519,Kenya,KEN,7,6.8,6.6,6.4,6.2,6,5.8,5.7,5.5,..
"Probability of dying among adolescents ages 15-19 years (per 1,000)",SH.DYN.1519,Nigeria,NGA,8.7,8.5,8.4,8.2,8,7.8,7.5,7.3,7.1,..
"Probability of dying among adolescents ages 15-19 years, female (per 1,000)",SH.DYN.1519.FE,Ghana,GHA,6.3,6.1,5.9,5.7,5.6,5.4,5.3,5.1,5,..
"Probability of dying among adolescents ages 15-19 years, female (per 1,000)",SH.DYN.1519.FE,Kenya,KEN,5.3,5.1,4.9,4.7,4.5,4.3,4.1,4,3.8,..
"Probability of dying among adolescents ages 15-19 years, female (per 1,000)",SH.DYN.1519.FE,Nigeria,NGA,7.9,7.7,7.5,7.2,7,6.7,6.5,6.3,6.1,..
"Probability of dying among adolescents ages 15-19 years, male (per 1,000)",SH.DYN.1519.MA,Ghana,GHA,10,9.8,9.7,9.5,9.3,9.1,8.8,8.7,8.5,..
"Probability of dying among adolescents ages 15-19 years, male (per 1,000)",SH.DYN.1519.MA,Kenya,KEN,8.7,8.5,8.3,8.1,8,7.8,7.6,7.4,7.2,..
"Probability of dying among adolescents ages 15-19 years, male (per 1,000)",SH.DYN.1519.MA,Nigeria,NGA,9.5,9.3,9.2,9.1,8.9,8.8,8.6,8.4,8.2,..
"Probability of dying among children ages 5-9 years (per 1,000)",SH.DYN.0509,Ghana,GHA,7.1,6.9,6.8,6.6,6.4,6.2,6.1,5.9,5.7,..
"Probability of dying among children ages 5-9 years (per 1,000)",SH.DYN.0509,Kenya,KEN,4.6,4.3,4,3.7,3.4,3.2,2.9,2.7,2.6,..
"Probability of dying among children ages 5-9 years (per 1,000)",SH.DYN.0509,Nigeria,NGA,14.4,14.1,13.9,13.6,13.3,13,12.6,12.3,11.9,..
"Probability of dying among children ages 5-9 years, female (per 1,000)",SH.DYN.0509.FE,Ghana,GHA,6.8,6.6,6.4,6.2,6,5.9,5.7,5.5,5.4,..
"Probability of dying among children ages 5-9 years, female (per 1,000)",SH.DYN.0509.FE,Kenya,KEN,4.3,4,3.6,3.3,3,2.8,2.6,2.4,2.3,..
"Probability of dying among children ages 5-9 years, female (per 1,000)",SH.DYN.0509.FE,Nigeria,NGA,14,13.7,13.5,13.2,12.9,12.6,12.3,11.9,11.6,..
"Probability of dying among children ages 5-9 years, male (per 1,000)",SH.DYN.0509.MA,Ghana,GHA,7.4,7.3,7.1,6.9,6.7,6.6,6.4,6.3,6.1,..
"Probability of dying among children ages 5-9 years, male (per 1,000)",SH.DYN.0509.MA,Kenya,KEN,5,4.6,4.3,4,3.8,3.5,3.3,3.1,2.9,..
"Probability of dying among children ages 5-9 years, male (per 1,000)",SH.DYN.0509.MA,Nigeria,NGA,14.8,14.5,14.2,14,13.7,13.3,13,12.7,12.3,..
"Probability of dying among youth ages 20-24 years (per 1,000)",SH.DYN.2024,Ghana,GHA,8,7.8,7.7,7.6,7.5,7.4,7.4,7.3,7.2,..
"Probability of dying among youth ages 20-24 years (per 1,000)",SH.DYN.2024,Kenya,KEN,10.2,10,9.8,9.7,9.6,9.4,9.3,9.2,9.1,..
"Probability of dying among youth ages 20-24 years (per 1,000)",SH.DYN.2024,Nigeria,NGA,11.6,11.2,10.9,10.6,10.4,10.2,10.1,9.9,9.8,..
"Probability of dying among youth ages 20-24 years, female (per 1,000)",SH.DYN.2024.FE,Ghana,GHA,5.9,5.8,5.7,5.6,5.5,5.4,5.4,5.3,5.2,..
"Probability of dying among youth ages 20-24 years, female (per 1,000)",SH.DYN.2024.FE,Kenya,KEN,7.9,7.6,7.3,7.2,7,6.9,6.7,6.6,6.5,..
"Probability of dying among youth ages 20-24 years, female (per 1,000)",SH.DYN.2024.FE,Nigeria,NGA,11.5,11,10.5,10.1,9.8,9.5,9.3,9.1,8.9,..
"Probability of dying among youth ages 20-24 years, male (per 1,000)",SH.DYN.2024.MA,Ghana,GHA,10,9.8,9.7,9.6,9.5,9.4,9.3,9.3,9.2,..
"Probability of dying among youth ages 20-24 years, male (per 1,000)",SH.DYN.2024.MA,Kenya,KEN,12.6,12.5,12.3,12.3,12.2,12.2,12,11.9,11.7,..
"Probability of dying among youth ages 20-24 years, male (per 1,000)",SH.DYN.2024.MA,Nigeria,NGA,11.6,11.4,11.2,11.1,11,10.9,10.8,10.7,10.6,..
Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP1.ZS,Ghana,GHA,..,0.28,..,..,..,..,..,..,..,..
Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP1.ZS,Kenya,KEN,1.28,..,..,..,..,..,..,..,..,..
Proportion of population pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP1.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP2.ZS,Ghana,GHA,..,0.54,..,..,..,..,..,..,..,..
Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP2.ZS,Kenya,KEN,1.23,..,..,..,..,..,..,..,..,..
Proportion of population pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.NOP2.ZS,Nigeria,NGA,..,..,..,1.41,..,..,..,..,..,..
Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.NOPR.ZS,Ghana,GHA,..,0.3,..,..,..,..,..,..,..,..
Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.NOPR.ZS,Kenya,KEN,1.25,..,..,..,..,..,..,..,..,..
Proportion of population pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.NOPR.ZS,Nigeria,NGA,..,..,..,2.7,..,..,..,..,..,..
Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP1.ZS,Ghana,GHA,..,12.52,..,..,..,..,..,..,..,..
Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP1.ZS,Kenya,KEN,14.68,..,..,..,..,..,..,..,..,..
Proportion of population pushed further below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP1.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP2.ZS,Ghana,GHA,..,23.74,..,..,..,..,..,..,..,..
Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP2.ZS,Kenya,KEN,33.18,..,..,..,..,..,..,..,..,..
Proportion of population pushed further below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBP2.ZS,Nigeria,NGA,..,..,..,58.22,..,..,..,..,..,..
Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBPR.ZS,Ghana,GHA,..,14.58,..,..,..,..,..,..,..,..
Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBPR.ZS,Kenya,KEN,12.09,..,..,..,..,..,..,..,..,..
Proportion of population pushed further below the 60% median consumption poverty line by out-of-pocket health care expenditure (%),SH.UHC.FBPR.ZS,Nigeria,NGA,..,..,..,23.76,..,..,..,..,..,..
Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT1.ZS,Ghana,GHA,..,12.8,..,..,..,..,..,..,..,..
Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT1.ZS,Kenya,KEN,15.96,..,..,..,..,..,..,..,..,..
Proportion of population pushed or further pushed below the $2.15 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT1.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..,..
Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT2.ZS,Ghana,GHA,..,24.28,..,..,..,..,..,..,..,..
Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT2.ZS,Kenya,KEN,34.41,..,..,..,..,..,..,..,..,..
Proportion of population pushed or further pushed below the $3.65 ($ 2017 PPP) poverty line by out-of-pocket health care expenditure (%),SH.UHC.TOT2.ZS,Nigeria,NGA,..,..,..,59.63,..,..,..,..,..,..
Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.TOTR.ZS,Ghana,GHA,..,14.88,..,..,..,..,..,..,..,..
Proportion of population pushed or further pushed below the 60% median consumption poverty line by out-of-pocket health expenditure (%),SH.UHC.TOTR.ZS,Kenya,KEN,13.34,..,..,..,..,..,..,..,..,..
